Date (yy-mm-01),Rainfall/precipitation (mm)
2009-09-01,151.8
2009-10-01,126.81
2009-11-01,25.99
2009-12-01,4.24
2010-01-01,3.94
2010-02-01,6.14
2010-03-01,15.22
2010-04-01,46.58
2010-05-01,106.26
2010-06-01,123.48
2010-07-01,205.3
2010-08-01,243.51
2010-09-01,209.24
2010-10-01,130.79
2010-11-01,31.65
2010-12-01,5.44
2011-01-01,1.75
2011-02-01,22.48
2011-03-01,16.58
2011-04-01,40.53
2011-05-01,98.54
2011-06-01,109.73
2011-07-01,144.02
2011-08-01,239.08
2011-09-01,182.84
2011-10-01,111.46
2011-11-01,15.9
2011-12-01,2.81
2012-01-01,4.1
2012-02-01,24.71
2012-03-01,13.2
2012-04-01,60.98
2012-05-01,123.51
2012-06-01,145.7
2012-07-01,225.55
2012-08-01,256.98
2012-09-01,200.25
2012-10-01,101.1
2012-11-01,30.74
2012-12-01,6.69
2013-01-01,11.09
2013-02-01,7.85
2013-03-01,27.81
2013-04-01,79.07
2013-05-01,101.06
2013-06-01,120.2
2013-07-01,156.06
2013-08-01,232.62
2013-09-01,170.3
2013-10-01,104.0
2013-11-01,26.94
2013-12-01,16.84
2014-01-01,12.22
2014-02-01,8.79
2014-03-01,37.94
2014-04-01,64.12
2014-05-01,134.22
2014-06-01,123.18
2014-07-01,156.56
2014-08-01,276.9
2014-09-01,211.89
2014-10-01,110.45
2014-11-01,35.52
2014-12-01,4.8
2015-01-01,3.42
2015-02-01,19.98
2015-03-01,39.3
2015-04-01,19.14
2015-05-01,75.9
2015-06-01,98.78
2015-07-01,180.16
2015-08-01,258.38
2015-09-01,192.41
2015-10-01,117.99
2015-11-01,24.89
2015-12-01,0.57
2016-01-01,1.07
2016-02-01,3.52
2016-03-01,68.51
2016-04-01,62.73
2016-05-01,116.15
2016-06-01,169.63
2016-07-01,217.39
2016-08-01,238.25
2016-09-01,193.16
2016-10-01,84.7
2016-11-01,18.06
2016-12-01,5.84
2017-01-01,8.87
2017-02-01,4.15
2017-03-01,18.99
2017-04-01,55.94
2017-05-01,113.05
2017-06-01,172.26
2017-07-01,163.55
2017-08-01,243.46
2017-09-01,166.74
2017-10-01,72.72
2017-11-01,25.65
2017-12-01,6.83
2018-01-01,1.81
2018-02-01,27.37
2018-03-01,28.02
2018-04-01,48.52
2018-05-01,98.33
2018-06-01,153.02
2018-07-01,166.71
2018-08-01,249.15
2018-09-01,192.32
2018-10-01,91.82
2018-11-01,20.26
2018-12-01,4.11
2019-01-01,11.26
2019-02-01,24.44
2019-03-01,29.59
2019-04-01,49.6
2019-05-01,138.5
2019-06-01,145.25
2019-07-01,201.6
2019-08-01,245.97
2019-09-01,189.05
2019-10-01,190.72
2019-11-01,34.3
2019-12-01,3.94
2020-01-01,1.04
2020-02-01,2.12
2020-03-01,34.57
2020-04-01,41.29
2020-05-01,77.46
2020-06-01,114.36
2020-07-01,189.67
2020-08-01,217.85
2020-09-01,222.07
2020-10-01,82.78
2020-11-01,11.55
2020-12-01,6.3
